date,ticker,market_cap_usd,volume_usd
2021-02-18,ZRX,1600010338.32794,108840439.872127
2021-02-19,ZRX,1554874042.84253,112861884.099186
2021-02-20,ZRX,1532258772.58326,183897639.312522
2021-02-21,ZRX,1705427450.7282,160346994.822926
2021-02-22,ZRX,1528904158.41009,431285870.109208
2021-02-23,ZRX,1569584022.56878,621948950.934667
2021-02-24,ZRX,1519280549.01682,242729671.694189
2021-02-25,ZRX,1417120745.67639,129816792.709297
2021-02-26,ZRX,1308469493.25832,150888957.153806
2021-02-27,ZRX,1321581972.9372,89231730.8694841
2021-02-28,ZRX,1218564260.96545,91405103.2906203
2021-03-01,ZRX,1351543560.69615,95183006.9885313
2021-03-02,ZRX,1351221114.57273,122163057.933028
2021-03-03,ZRX,1469196371.75647,124253516.399916
2021-03-04,ZRX,1377194962.2602,96535716.7999461
2021-03-05,ZRX,1338742780.71719,85528497.8920623
2021-03-06,ZRX,1373514734.00769,79212459.6091528
2021-03-07,ZRX,1399691354.67641,84656491.926632
2021-03-08,ZRX,1416731984.27939,117910061.754821
2021-03-09,ZRX,1465997723.81613,88677290.0365104
2021-03-10,ZRX,1390340947.33504,89485761.0432681
2021-03-11,ZRX,1374233489.60341,62596208.987795
2021-03-12,ZRX,1336155773.10645,67409746.2511426
2021-03-13,ZRX,1392031058.29372,67111108.29221
2021-03-14,ZRX,1350896880.86698,64022537.1815504
2021-03-15,ZRX,1338217488.63702,80881701.7857065
2021-03-16,ZRX,1413664552.98409,97395345.0982567
2021-03-17,ZRX,1441468131.69808,95186344.6345854
2021-03-18,ZRX,1520750152.44948,351876904.367254
2021-03-19,ZRX,1557529238.10725,147558585.195289
2021-03-20,ZRX,1509529148.98192,111534317.866266
2021-03-21,ZRX,1458085728.67397,88135970.4555105
2021-03-22,ZRX,1423924496.71216,125447820.158893
2021-03-23,ZRX,1490633339.45459,125773831.057059
2021-03-24,ZRX,1380806268.67355,163326045.272031
2021-03-25,ZRX,1314125013.42282,119769422.088438
2021-03-26,ZRX,1386880712.73697,57287869.4120682
2021-03-27,ZRX,1413680091.70105,92133929.183846
2021-03-28,ZRX,1446975369.69806,95991981.6662628
2021-03-29,ZRX,1578027275.92636,140975886.29665
2021-03-30,ZRX,1867198163.11602,379770165.938969
2021-03-31,ZRX,1878077314.58071,388169294.981333
2021-04-01,ZRX,1956614847.54879,279734290.119296
2021-04-02,ZRX,1970187302.74569,186016289.24129
2021-04-03,ZRX,1742892772.29861,165306363.749593
2021-04-04,ZRX,1838665275.18714,118059489.304367
2021-04-05,ZRX,1788188001.73009,137179308.55947
2021-04-06,ZRX,1914768947.3904,209804772.273412
2021-04-07,ZRX,1737087082.55575,231642303.376061
2021-04-08,ZRX,1850133175.40245,115444909.350908
2021-04-09,ZRX,2151783193.67208,590648780.170016
2021-04-10,ZRX,2171912113.92017,422954353.254548
2021-04-11,ZRX,2124301503.90988,212879084.921621
2021-04-12,ZRX,2125005622.74804,132961584.253339
2021-04-13,ZRX,2313194689.85764,305273194.558758
2021-04-14,ZRX,2151399493.39633,256119878.888277
2021-04-15,ZRX,2203212464.4582,148252258.67134
2021-04-16,ZRX,2086309430.38653,174192818.964534
2021-04-17,ZRX,2053386620.05248,133640383.388003
2021-04-18,ZRX,1767541815.59256,246872698.114437
2021-04-19,ZRX,1603520001.22469,134259505.734689
2021-04-20,ZRX,1717865750.69271,246041995.4841
2021-04-21,ZRX,1650630487.49731,126183793.96641
2021-04-22,ZRX,1515183843.43694,149033447.171626
2021-04-23,ZRX,1466701173.92839,176549772.485926
2021-04-24,ZRX,1332607828.13329,73082751.8149334
2021-04-25,ZRX,1332489736.19918,121201342.386395
2021-04-26,ZRX,1519278502.18554,87803663.8933465
2021-04-27,ZRX,1827659866.27978,224404091.01556
2021-04-28,ZRX,1711270739.66663,138745827.989975
2021-04-29,ZRX,1667139527.97255,90906234.9970916
2021-04-30,ZRX,1802957229.98776,102239092.405649
2021-05-01,ZRX,1944402815.28625,185943193.633891
2021-05-02,ZRX,1866661250.75308,129118843.070137
2021-05-03,ZRX,1898900733.66345,106549780.046027
2021-05-04,ZRX,1713137641.6178,133432866.233013
2021-05-05,ZRX,1878717986.60695,140422586.720699
2021-05-06,ZRX,2066581037.31195,264042377.898948
2021-05-07,ZRX,2009252995.37475,311164469.667748
2021-05-08,ZRX,1950653288.75911,133102506.17859
